Brigadier,École,Type,Niveau,Enseignant remplacé
ROBERT Nathan,BASTIDE EE,classe,CP,Mme Dupont
DAVID Zoé,BASTIDE EE,classe,CP,M. Martin
GIRARD Manon,BASTIDE EE,classe,CP,Mme Leroy
RICHARD Lina,BASTIDE EE,classe,CE1,M. Bernard
VINCENT Tom,BASTIDE EE,classe,CE1,Mme Petit
ANDRE Axel,BASTIDE EE,classe,CE1/CE2,M. Robert
MERCIER Enzo,BASTIDE EE,classe,CE1/CE2,Mme Moreau
LAMBERT Paul,BASTIDE EE,classe,CE2/CM1,M. Simon
BERNARD Inès,BASTIDE EE,classe,CE2/CM1/CM2,Mme Laurent
MOREAU Jade,BASTIDE EE,classe,CE2/CM1/CM2,M. Michel
MARTIN Hugo,BASTIDE EE,classe,CE2/CM1/CM2,Mme Dupont
MOREL Sacha,BASTIDE EE,classe,CM1/CM2,M. Martin
LEMAIRE Nina,BASTIDE EE,classe,CM1/CM2,Mme Leroy
ROBERT Nathan,BASTIDE EMPU,classe,TPS/PS,M. Bernard
MERCIER Enzo,BASTIDE EMPU,classe,MS,Mme Petit
LEFEBVRE Jules,BASTIDE EMPU,classe,GS,M. Robert
VINCENT Tom,BASTIDE EMPU,classe,GS,Mme Moreau
BERNARD Inès,BASTIDE EMPU,classe,Surnuméraire,M. Simon
MOREAU Jade,BASTIDE EMPU,classe,Surnuméraire,Mme Laurent
BERNARD Inès,BILLIERES EE,classe,CP,M. Michel
LAMBERT Paul,BILLIERES EE,classe,CP,Mme Dupont
SIMON Louis,BILLIERES EE,classe,CP,M. Martin
DAVID Zoé,BILLIERES EE,classe,CP,Mme Leroy
BERTRAND Noé,BILLIERES EE,classe,CP,M. Bernard
DURAND Alice,BILLIERES EE,classe,CE1,Mme Petit
MOREAU Jade,BILLIERES EE,classe,CE1,M. Robert
ANDRE Axel,BILLIERES EE,classe,CE1,Mme Moreau
VINCENT Tom,BILLIERES EE,classe,CE2,M. Simon
MARTIN Hugo,BILLIERES EE,classe,CE2,Mme Laurent
GARCIA Maël,BILLIERES EE,classe,CM1,M. Michel
MICHEL Anna,BILLIERES EE,classe,CM1/CM2,Mme Dupont
MOREL Sacha,BILLIERES EE,classe,CM1/CM2,M. Martin
LEMAIRE Nina,BILLIERES EE,classe,CM1/CM2,Mme Leroy
LAURENT Chloé,BILLIERES EE,classe,CM2,M. Bernard
GIRARD Manon,BILLIERES_AUCH EMPU,classe,TPS/PS,Mme Petit
ROBERT Nathan,BILLIERES_AUCH EMPU,classe,PS/MS,M. Robert
BONNET Lou,BILLIERES_AUCH EMPU,classe,PS/MS,Mme Moreau
RICHARD Lina,BILLIERES_AUCH EMPU,classe,GS,M. Simon
MERCIER Enzo,BILLIERES_AUCH EMPU,classe,GS,Mme Laurent
LEFEBVRE Jules,BILLIERES_DESBALS EMPU,classe,TPS/PS,M. Michel
ROUX Eva,BILLIERES_DESBALS EMPU,classe,PS/MS,Mme Dupont
FOURNIER Léna,BILLIERES_DESBALS EMPU,classe,MS/GS,M. Martin
DUPONT Mila,BILLIERES_DESBALS EMPU,classe,MS/GS,Mme Leroy
PETIT Gabriel,BILLIERES_DESBALS EMPU,classe,GS,M. Bernard
Wolff Mathide,BUFFON EE,classe,CP,Mme Petit
RICHARD Lina,BUFFON EE,classe,CP,M. Robert
GARCIA Maël,BUFFON EE,classe,CP,Mme Moreau
BONNET Lou,BUFFON EE,classe,CP,M. Simon
FOURNIER Léna,BUFFON EE,classe,CE1,Mme Laurent
DUPONT Mila,BUFFON EE,classe,CE1,M. Michel
MICHEL Anna,BUFFON EE,classe,CE1,Mme Dupont
MARTIN Hugo,BUFFON EE,classe,CE1,M. Martin
ROUX Eva,BUFFON EE,classe,CE2,Mme Leroy
LAMBERT Paul,BUFFON EE,classe,CE2,M. Bernard
LAURENT Chloé,BUFFON EE,classe,CE2,Mme Petit
PETIT Gabriel,BUFFON EE,classe,CM1/CM2,M. Robert
SIMON Louis,BUFFON EE,classe,CM1/CM2,Mme Moreau
DAVID Zoé,BUFFON EE,classe,CM1/CM2,M. Simon
MOREL Sacha,BUFFON EE,classe,CM1/CM2,Mme Laurent
ANDRE Axel,BUFFON EE,classe,CM1/CM2,M. Michel
LEMAIRE Nina,BUFFON EE,classe,ULIS,Mme Dupont
BERTRAND Noé,BUFFON EE,classe,Surnuméraire,M. Martin
GIRARD Manon,BUFFON EE,classe,Surnuméraire,Mme Leroy
DAVID Zoé,BUFFON EMPU,classe,TPS,M. Bernard
RICHARD Lina,BUFFON EMPU,classe,PS,Mme Petit
PETIT Gabriel,BUFFON EMPU,classe,PS/MS,M. Robert
LEFEBVRE Jules,BUFFON EMPU,classe,PS/MS,Mme Moreau
BERTRAND Noé,BUFFON EMPU,classe,PS/MS,M. Simon
BERNARD Inès,BUFFON EMPU,classe,MS,Mme Laurent
ROBERT Nathan,BUFFON EMPU,classe,GS,M. Michel
GIRARD Manon,BUFFON EMPU,classe,Surnuméraire,Mme Dupont
LAURENT Chloé,BUFFON EMPU,classe,GS,M. Martin
MICHEL Anna,BUFFON EMPU,classe,GS,Mme Leroy
GARCIA Maël,BUFFON EMPU,classe,GS,M. Bernard
MERCIER Enzo,CLAUDEL EMPU,classe,TPS/PS,Mme Petit
BONNET Lou,CLAUDEL EMPU,classe,TPS/PS,M. Robert
MARTIN Hugo,CLAUDEL EMPU,classe,MS,Mme Moreau
ROBERT Nathan,CLAUDEL EMPU,classe,GS,M. Simon
VINCENT Tom,CLAUDEL EMPU,classe,GS,Mme Laurent
MOREAU Jade,CLAUDEL EMPU,classe,Surnuméraire,M. Michel
GARCIA Maël,DAURAT EE,classe,CP,Mme Dupont
MOREL Sacha,DAURAT EE,classe,CP/CE1,M. Martin
ANDRE Axel,DAURAT EE,classe,CE1/CE2,Mme Leroy
BONNET Lou,DAURAT EE,classe,CE1/CE2,M. Bernard
PETIT Gabriel,DAURAT EE,classe,CE2,Mme Petit
SIMON Louis,DAURAT EE,classe,CM1/CM2,M. Robert
LEMAIRE Nina,DAURAT EE,classe,CM1/CM2,Mme Moreau
ROBERT Nathan,DAURAT EMPU,classe,TPS/PS,M. Simon
LAURENT Chloé,DAURAT EMPU,classe,PS/MS,Mme Laurent
RICHARD Lina,DAURAT EMPU,classe,MS/GS,M. Michel
MICHEL Anna,DAURAT EMPU,classe,MS/GS,Mme Dupont
FOURNIER Léna,DAURIAC EE,classe,CP,M. Martin
DUPONT Mila,DAURIAC EE,classe,CP,Mme Leroy
DAVID Zoé,DAURIAC EE,classe,CP,M. Bernard
BONNET Lou,DAURIAC EE,classe,CP,Mme Petit
ROUX Eva,DAURIAC EE,classe,CE1,M. Robert
LAURENT Chloé,DAURIAC EE,classe,CE1,Mme Moreau
BERTRAND Noé,DAURIAC EE,classe,CE1,M. Simon
RICHARD Lina,DAURIAC EE,classe,CE2,Mme Laurent
LAMBERT Paul,DAURIAC EE,classe,CE2,M. Michel
BERNARD Inès,DAURIAC EE,classe,CM1/CM2,Mme Dupont
ROBERT Nathan,DAURIAC EE,classe,CM1/CM2,M. Martin
LEFEBVRE Jules,DAURIAC EE,classe,CM1/CM2,Mme Leroy
GIRARD Manon,DAURIAC EE,classe,CM1/CM2,M. Bernard
ANDRE Axel,DAURIAC EE,classe,ULIS,Mme Petit
MICHEL Anna,DAURIAC EE,classe,Surnuméraire,M. Robert
VINCENT Tom,DAURIAC EMPU,classe,TPS/PS,Mme Moreau
DURAND Alice,DAURIAC EMPU,classe,PS/MS,M. Simon
MERCIER Enzo,DAURIAC EMPU,classe,GS,Mme Laurent
MARTIN Hugo,DAURIAC EMPU,classe,GS,M. Michel
PETIT Gabriel,DAURIAC EMPU,classe,Surnuméraire,Mme Dupont
GARCIA Maël,DIEUZAIDE EMPU,classe,PS/MS,M. Martin
BONNET Lou,DIEUZAIDE EMPU,classe,PS/MS,Mme Leroy
DURAND Alice,DIEUZAIDE EMPU,classe,MS/GS,M. Bernard
MOREAU Jade,DIEUZAIDE EMPU,classe,MS/GS,Mme Petit
DURAND Alice,DOTTIN EE,classe,CM1/CM2,M. Robert
ROBERT Nathan,DOTTIN EE,classe,Surnuméraire,Mme Moreau
PETIT Gabriel,DOTTIN EE,classe,CP,M. Simon
SIMON Louis,DOTTIN EE,classe,CP,Mme Laurent
LAURENT Chloé,DOTTIN EE,classe,CP,M. Michel
LEFEBVRE Jules,DOTTIN EE,classe,CM1/CM2,Mme Dupont
MICHEL Anna,DOTTIN EE,classe,CM1/CM2,M. Martin
DAVID Zoé,DOTTIN EE,classe,ULIS,Mme Leroy
BERTRAND Noé,DOTTIN EE,classe,CE2,M. Bernard
VINCENT Tom,DOTTIN EE,classe,CP/CE1,Mme Petit
MOREL Sacha,DOTTIN EE,classe,CE1,M. Robert
GIRARD Manon,DOTTIN EE,classe,CE2,Mme Moreau
ANDRE Axel,DOTTIN EE,classe,CE1,M. Simon
LEMAIRE Nina,DOTTIN EE,classe,CE1,Mme Laurent
DUPONT Mila,DOTTIN EE,classe,CM1,M. Michel
BONNET Lou,DOTTIN EE,classe,CM1/CM2,Mme Dupont
MARTIN Hugo,FALCUCCI EE,classe,CP/CE1,M. Martin
RICHARD Lina,FALCUCCI EE,classe,Surnuméraire,Mme Leroy
PETIT Gabriel,FALCUCCI EE,classe,CE1/CE2,M. Bernard
LAURENT Chloé,FALCUCCI EE,classe,CE1/CE2,Mme Petit
LEFEBVRE Jules,FALCUCCI EE,classe,CP,M. Robert
MICHEL Anna,FALCUCCI EE,classe,CM1/CM2,Mme Moreau
ROUX Eva,FALCUCCI EE,classe,CM1/CM2,M. Simon
VINCENT Tom,FALCUCCI EE,classe,CM1/CM2,Mme Laurent
FOURNIER Léna,FALCUCCI EE,classe,CM1/CM2,M. Michel
GIRARD Manon,FALCUCCI EE,classe,CE1/CE2,Mme Dupont
MERCIER Enzo,FALCUCCI EE,classe,CP,M. Martin
DUPONT Mila,FALCUCCI EE,classe,CE1/CE2,Mme Leroy
LAMBERT Paul,FALCUCCI EE,classe,CE1/CE2,M. Bernard
DAVID Zoé,FALCUCCI EMPU,classe,TPS/PS/MS,Mme Petit
BERTRAND Noé,FALCUCCI EMPU,classe,TPS/PS/MS,M. Robert
ANDRE Axel,FALCUCCI EMPU,classe,PS/MS,Mme Moreau
DURAND Alice,FALCUCCI EMPU,classe,GS,M. Simon
BERNARD Inès,FALCUCCI EMPU,classe,GS,Mme Laurent
GARCIA Maël,FALCUCCI EMPU,classe,GS,M. Michel
ROBERT Nathan,FALCUCCI EMPU,classe,Surnuméraire,Mme Dupont
ANDRE Axel,FALCUCCI EMPU,classe,Surnuméraire,M. Martin
LAMBERT Paul,FAUCHER EE,classe,CE1/CE2,Mme Leroy
GARCIA Maël,FAUCHER EE,classe,CE1/CE2,M. Bernard
LEMAIRE Nina,FAUCHER EE,classe,CE1/CE2,Mme Petit
FOURNIER Léna,FAUCHER EE,classe,CM1/CM2,M. Robert
ROUX Eva,FAUCHER EE,classe,CM1/CM2,Mme Moreau
DAVID Zoé,FAUCHER EE,classe,CP,M. Simon
BERTRAND Noé,FAUCHER EE,classe,CP,Mme Laurent
BONNET Lou,FAUCHER EE,classe,ULIS,M. Michel
GIRARD Manon,FAUCHER EMPU,classe,TPS/PS,Mme Dupont
BERNARD Inès,FAUCHER EMPU,classe,PS/MS,M. Martin
RICHARD Lina,FAUCHER EMPU,classe,PS/MS,Mme Leroy
LAURENT Chloé,FAUCHER EMPU,classe,MS/GS,M. Bernard
MOREL Sacha,FAUCHER EMPU,classe,GS,Mme Petit
MERCIER Enzo,FAUCHER EMPU,classe,GS,M. Robert
GARCIA Maël,GALIA EMPU,classe,TPS/PS,Mme Moreau
RICHARD Lina,GALIA EMPU,classe,MS/GS,M. Simon
MOREAU Jade,GALIA EMPU,classe,MS/GS,Mme Laurent
MARTIN Hugo,GALIA EMPU,classe,Surnuméraire,M. Michel
ROBERT Nathan,HERITIER EE,classe,CP,Mme Dupont
MOREAU Jade,HERITIER EE,classe,CE1,M. Martin
SIMON Louis,HERITIER EE,classe,CE2,Mme Leroy
DUPONT Mila,HERITIER EE,classe,CM1/CM2,M. Bernard
MICHEL Anna,HERITIER EE,classe,CM1/CM2,Mme Petit
DURAND Alice,HERITIER EE,classe,ULIS,M. Robert
MARTIN Hugo,HERITIER EE,classe,Surnuméraire,Mme Moreau
DURAND Alice,HUGO EE,classe,CP,M. Simon
BERNARD Inès,HUGO EE,classe,CP,Mme Laurent
LAMBERT Paul,HUGO EE,classe,CP,M. Michel
ANDRE Axel,HUGO EE,classe,CP,Mme Dupont
ROUX Eva,HUGO EE,classe,CE1,M. Martin
MOREL Sacha,HUGO EE,classe,CE1,Mme Leroy
LEMAIRE Nina,HUGO EE,classe,CE1,M. Bernard
BONNET Lou,HUGO EE,classe,CE1,Mme Petit
DUPONT Mila,HUGO EE,classe,CE2,M. Robert
LEFEBVRE Jules,HUGO EE,classe,CE2,Mme Moreau
MICHEL Anna,HUGO EE,classe,CE2,M. Simon
GARCIA Maël,HUGO EE,classe,CM1,Mme Laurent
RICHARD Lina,HUGO EE,classe,CM1/CM2,M. Michel
LAURENT Chloé,HUGO EE,classe,CM1/CM2,Mme Dupont
VINCENT Tom,HUGO EE,classe,CM1/CM2,M. Martin
MERCIER Enzo,HUGO EE,classe,CM1/CM2,Mme Leroy
ROBERT Nathan,HUGO EE,classe,ULIS,M. Bernard
DAVID Zoé,HUGO EMPU,classe,TPS/PS,Mme Petit
GIRARD Manon,HUGO EMPU,classe,TPS/PS,M. Robert
BERTRAND Noé,HUGO EMPU,classe,PS/MS,Mme Moreau
SIMON Louis,HUGO EMPU,classe,MS,M. Simon
FOURNIER Léna,HUGO EMPU,classe,GS,Mme Laurent
PETIT Gabriel,HUGO EMPU,classe,GS,M. Michel
MOREAU Jade,HUGO EMPU,classe,GS,Mme Dupont
MARTIN Hugo,HUGO EMPU,classe,GS,M. Martin
RICHARD Lina,HYON EE,classe,CP,Mme Leroy
GARCIA Maël,HYON EE,classe,CP,M. Bernard
FOURNIER Léna,HYON EE,classe,CP/CE1,Mme Petit
LEFEBVRE Jules,HYON EE,classe,CP/CE1,M. Robert
LEMAIRE Nina,HYON EE,classe,CE1,Mme Moreau
LAURENT Chloé,HYON EE,classe,CE2,M. Simon
MICHEL Anna,HYON EE,classe,CE2,Mme Laurent
SIMON Louis,HYON EE,classe,CM1,M. Michel
PETIT Gabriel,HYON EE,classe,CM2,Mme Dupont
BERNARD Inès,HYON EE,classe,ULIS,M. Martin
